,Trigram,Count,Frequency
0,Зад,1,0.0011074197120708748
1,ади,3,0.0033222591362126247
2,див,3,0.0033222591362126247
3,ивл,1,0.0011074197120708748
4,вля,1,0.0011074197120708748
5,ляю,1,0.0011074197120708748
6,яюс,1,0.0011074197120708748
7,юсь,1,0.0011074197120708748
8,сь ,1,0.0011074197120708748
9,ь у,1,0.0011074197120708748
10, у ,1,0.0011074197120708748
11,у т,1,0.0011074197120708748
12, тв,5,0.005537098560354375
13,тво,5,0.005537098560354375
14,вої,2,0.0022148394241417496
15,ої ,2,0.0022148394241417496
16,ї з,1,0.0011074197120708748
17, зі,1,0.0011074197120708748
18,зін,1,0.0011074197120708748
19,іни,1,0.0011074197120708748
20,ниц,1,0.0011074197120708748
21,иці,2,0.0022148394241417496
22,"ці
",2,0.0022148394241417496
23,"і
Г",1,0.0011074197120708748
24,"
Го",1,0.0011074197120708748
25,Гол,1,0.0011074197120708748
26,олу,1,0.0011074197120708748
27,луб,1,0.0011074197120708748
28,убі,1,0.0011074197120708748
29,бі ,1,0.0011074197120708748
30,і й,1,0.0011074197120708748
31, й ,2,0.0022148394241417496
32,й т,1,0.0011074197120708748
33, тр,1,0.0011074197120708748
34,три,1,0.0011074197120708748
35,рив,1,0.0011074197120708748
36,иво,2,0.0022148394241417496
37,вож,1,0.0011074197120708748
38,ожн,1,0.0011074197120708748
39,жні,1,0.0011074197120708748
40,ні ,3,0.0033222591362126247
41,і н,1,0.0011074197120708748
42, ні,1,0.0011074197120708748
43,ніб,1,0.0011074197120708748
44,іби,1,0.0011074197120708748
45,би ,1,0.0011074197120708748
46,и р,1,0.0011074197120708748
47, ра,1,0.0011074197120708748
48,ран,1,0.0011074197120708748
49,ань,2,0.0022148394241417496
50,"нь
",2,0.0022148394241417496
51,"ь
К",1,0.0011074197120708748
52,"
Кр",1,0.0011074197120708748
53,Кре,1,0.0011074197120708748
54,реш,1,0.0011074197120708748
55,ешу,1,0.0011074197120708748
56,шут,1,0.0011074197120708748
57,уть,3,0.0033222591362126247
58,ть ,9,0.009966777408637873
59,ь з,1,0.0011074197120708748
60, з ,3,0.0033222591362126247
61,з н,2,0.0022148394241417496
62, ни,2,0.0022148394241417496
63,них,1,0.0011074197120708748
64,их ,1,0.0011074197120708748
65,х ч,1,0.0011074197120708748
66, че,1,0.0011074197120708748
67,чер,1,0.0011074197120708748
68,ерв,1,0.0011074197120708748
69,рво,1,0.0011074197120708748
70,вон,1,0.0011074197120708748
71,оні,1,0.0011074197120708748
72,і б,1,0.0011074197120708748
73, бл,1,0.0011074197120708748
74,бли,1,0.0011074197120708748
75,лис,1,0.0011074197120708748
76,иск,1,0.0011074197120708748
77,ска,1,0.0011074197120708748
78,кав,2,0.0022148394241417496
79,ави,1,0.0011074197120708748
80,виц,1,0.0011074197120708748
81,"і
Р",2,0.0022148394241417496
82,"
Ре",1,0.0011074197120708748
83,Рев,1,0.0011074197120708748
84,ево,1,0.0011074197120708748
85,вол,1,0.0011074197120708748
86,олю,1,0.0011074197120708748
87,люц,1,0.0011074197120708748
88,юці,1,0.0011074197120708748
89,цій,1,0.0011074197120708748
90,ій ,1,0.0011074197120708748
91,й б,1,0.0011074197120708748
92, бу,2,0.0022148394241417496
93,бун,1,0.0011074197120708748
94,унт,1,0.0011074197120708748
95,нті,1,0.0011074197120708748
96,тів,1,0.0011074197120708748
97,ів ,3,0.0033222591362126247
98,в і,1,0.0011074197120708748
99, і ,4,0.004429678848283499
100,і п,1,0.0011074197120708748
101, по,3,0.0033222591362126247
102,пов,2,0.0022148394241417496
103,овс,1,0.0011074197120708748
104,вст,1,0.0011074197120708748
105,ста,1,0.0011074197120708748
106,тан,1,0.0011074197120708748
107,"ь
У",1,0.0011074197120708748
108,"
Ук",2,0.0022148394241417496
109,Укр,2,0.0022148394241417496
110,кра,3,0.0033222591362126247
111,раї,2,0.0022148394241417496
112,аїн,2,0.0022148394241417496
113,їно,2,0.0022148394241417496
114,но ,2,0.0022148394241417496
115,о Т,1,0.0011074197120708748
116, Ти,1,0.0011074197120708748
117,Ти ,2,0.0022148394241417496
118,и д,1,0.0011074197120708748
119, дл,1,0.0011074197120708748
120,для,1,0.0011074197120708748
121,ля ,1,0.0011074197120708748
122,я м,2,0.0022148394241417496
123, ме,1,0.0011074197120708748
124,мен,2,0.0022148394241417496
125,ене,2,0.0022148394241417496
126,не ,4,0.004429678848283499
127,е д,2,0.0022148394241417496
128, ди,2,0.0022148394241417496
129,"во
",2,0.0022148394241417496
130,"о
І",1,0.0011074197120708748
131,"
І ",1,0.0011074197120708748
132,І н,1,0.0011074197120708748
133, не,5,0.005537098560354375
134,нех,1,0.0011074197120708748
135,еха,1,0.0011074197120708748
136,хай,1,0.0011074197120708748
137,ай ,4,0.004429678848283499
138,й п,2,0.0022148394241417496
139, пл,1,0.0011074197120708748
140,пли,1,0.0011074197120708748
141,лив,2,0.0022148394241417496
142,иве,1,0.0011074197120708748
143,ве ,1,0.0011074197120708748
144,е з,3,0.0033222591362126247
145, за,3,0.0033222591362126247
146,за ,1,0.0011074197120708748
147,а р,1,0.0011074197120708748
148, ро,2,0.0022148394241417496
149,рок,1,0.0011074197120708748
150,око,2,0.0022148394241417496
151,ком,1,0.0011074197120708748
152,ом ,2,0.0022148394241417496
153,м р,1,0.0011074197120708748
154, рі,1,0.0011074197120708748
155,рік,1,0.0011074197120708748
156,"ік
",2,0.0022148394241417496
157,"к
Б",1,0.0011074197120708748
158,"
Бу",1,0.0011074197120708748
159,Буд,1,0.0011074197120708748
160,уду,1,0.0011074197120708748
161,ду ,1,0.0011074197120708748
162,у м,1,0.0011074197120708748
163, ма,3,0.0033222591362126247
164,мам,1,0.0011074197120708748
165,амо,2,0.0022148394241417496
166,мо ,1,0.0011074197120708748
167,о г,1,0.0011074197120708748
168, го,2,0.0022148394241417496
169,гор,1,0.0011074197120708748
170,орд,1,0.0011074197120708748
171,рда,1,0.0011074197120708748
172,да ,1,0.0011074197120708748
173,а і,1,0.0011074197120708748
174,і в,1,0.0011074197120708748
175, вр,1,0.0011074197120708748
176,вро,1,0.0011074197120708748
177,род,1,0.0011074197120708748
178,одл,1,0.0011074197120708748
179,дли,1,0.0011074197120708748
180,ива,1,0.0011074197120708748
181,"ва
",5,0.005537098560354375
182,"а
З",2,0.0022148394241417496
183,"
З ",2,0.0022148394241417496
184,З т,1,0.0011074197120708748
185, те,4,0.004429678848283499
186,теб,4,0.004429678848283499
187,ебе,4,0.004429678848283499
188,бе ,3,0.0033222591362126247
189,иву,2,0.0022148394241417496
190,вув,1,0.0011074197120708748
191,ува,1,0.0011074197120708748
192,ват,1,0.0011074197120708748
193,ати,1,0.0011074197120708748
194,тис,1,0.0011074197120708748
195,ися,1,0.0011074197120708748
196,ся ,2,0.0022148394241417496
197,я п,1,0.0011074197120708748
198,ові,3,0.0033222591362126247
199,вік,2,0.0022148394241417496
200,"к
О",1,0.0011074197120708748
201,"
Од",1,0.0011074197120708748
202,Оді,1,0.0011074197120708748
203,дій,1,0.0011074197120708748
204,ійд,2,0.0022148394241417496
205,йді,1,0.0011074197120708748
206,діт,1,0.0011074197120708748
207,іте,1,0.0011074197120708748
208,те ,3,0.0033222591362126247
209,е н,3,0.0033222591362126247
210,нед,1,0.0011074197120708748
211,едр,1,0.0011074197120708748
212,дру,2,0.0022148394241417496
213,руг,1,0.0011074197120708748
214,уги,1,0.0011074197120708748
215,ги ,1,0.0011074197120708748
216,и л,1,0.0011074197120708748
217, лу,1,0.0011074197120708748
218,лук,1,0.0011074197120708748
219,ука,2,0.0022148394241417496
220,аві,1,0.0011074197120708748
221,"ві
",3,0.0033222591362126247
222,"і
Д",1,0.0011074197120708748
223,"
Др",1,0.0011074197120708748
224,Дру,1,0.0011074197120708748
225,руз,2,0.0022148394241417496
226,узі,2,0.0022148394241417496
227,зі ,1,0.0011074197120708748
228,і з,2,0.0022148394241417496
229,зач,1,0.0011074197120708748
230,аче,1,0.0011074197120708748
231,чек,1,0.0011074197120708748
232,ека,1,0.0011074197120708748
233,кай,1,0.0011074197120708748
234,айт,1,0.0011074197120708748
235,йте,1,0.0011074197120708748
236, на,5,0.005537098560354375
237,на ,4,0.004429678848283499
238,а п,1,0.0011074197120708748
239, пу,1,0.0011074197120708748
240,пут,1,0.0011074197120708748
241,уті,1,0.0011074197120708748
242,"ті
",2,0.0022148394241417496
243,"і
М",1,0.0011074197120708748
244,"
Ма",1,0.0011074197120708748
245,Маю,1,0.0011074197120708748
246,аю ,1,0.0011074197120708748
247,ю я,1,0.0011074197120708748
248, я ,3,0.0033222591362126247
249,я с,1,0.0011074197120708748
250, св,3,0.0033222591362126247
251,свя,2,0.0022148394241417496
252,вят,1,0.0011074197120708748
253,яте,1,0.0011074197120708748
254,е с,1,0.0011074197120708748
255, си,2,0.0022148394241417496
256,син,1,0.0011074197120708748
257,ині,1,0.0011074197120708748
258,нів,1,0.0011074197120708748
259,івс,1,0.0011074197120708748
260,всь,1,0.0011074197120708748
261,ськ,1,0.0011074197120708748
262,ьке,1,0.0011074197120708748
263,ке ,1,0.0011074197120708748
264,е п,2,0.0022148394241417496
265, пр,4,0.004429678848283499
266,пра,2,0.0022148394241417496
267,рав,2,0.0022148394241417496
268,аво,1,0.0011074197120708748
269,"о
З",1,0.0011074197120708748
270,З м,1,0.0011074197120708748
271,мат,1,0.0011074197120708748
272,аті,1,0.0011074197120708748
273,тір,1,0.0011074197120708748
274,ірю,1,0.0011074197120708748
275,рю ,1,0.0011074197120708748
276,ю п,1,0.0011074197120708748
277,поб,1,0.0011074197120708748
278,обу,1,0.0011074197120708748
279,бут,1,0.0011074197120708748
280,ь н,3,0.0033222591362126247
281,а с,1,0.0011074197120708748
282, са,1,0.0011074197120708748
283,сам,1,0.0011074197120708748
284,мот,2,0.0022148394241417496
285,оті,1,0.0011074197120708748
286,"
Рі",1,0.0011074197120708748
287,Рід,1,0.0011074197120708748
288,ідк,1,0.0011074197120708748
289,дко,1,0.0011074197120708748
290,ко ,1,0.0011074197120708748
291,о н,1,0.0011074197120708748
292,нен,1,0.0011074197120708748
293, зг,1,0.0011074197120708748
294,зга,1,0.0011074197120708748
295,гад,1,0.0011074197120708748
296,аду,1,0.0011074197120708748
297,дую,1,0.0011074197120708748
298,уют,1,0.0011074197120708748
299,ють,2,0.0022148394241417496
300,ь п,1,0.0011074197120708748
301,про,2,0.0022148394241417496
302,ро ,1,0.0011074197120708748
303,о т,2,0.0022148394241417496
304,"бе
",1,0.0011074197120708748
305,"е
Д",1,0.0011074197120708748
306,"
Дн",1,0.0011074197120708748
307,Дні,1,0.0011074197120708748
308,зан,1,0.0011074197120708748
309,ана,1,0.0011074197120708748
310,над,2,0.0022148394241417496
311,адт,1,0.0011074197120708748
312,дто,1,0.0011074197120708748
313,то ,1,0.0011074197120708748
314,о к,1,0.0011074197120708748
315, ку,1,0.0011074197120708748
316,куц,1,0.0011074197120708748
317,уці,1,0.0011074197120708748
318,ці ,1,0.0011074197120708748
319,і т,2,0.0022148394241417496
320, та,1,0.0011074197120708748
321,та ,2,0.0022148394241417496
322,а м,1,0.0011074197120708748
323,мал,1,0.0011074197120708748
324,алі,1,0.0011074197120708748
325,"лі
",2,0.0022148394241417496
326,"і
Щ",1,0.0011074197120708748
327,"
Ще",1,0.0011074197120708748
328,Ще ,1,0.0011074197120708748
329,е в,1,0.0011074197120708748
330, вс,2,0.0022148394241417496
331,всі,1,0.0011074197120708748
332,сі ,1,0.0011074197120708748
333,і ч,1,0.0011074197120708748
334, чо,1,0.0011074197120708748
335,чор,1,0.0011074197120708748
336,орт,1,0.0011074197120708748
337,рти,1,0.0011074197120708748
338,ти ,2,0.0022148394241417496
339,и ж,1,0.0011074197120708748
340, жи,2,0.0022148394241417496
341,жив,1,0.0011074197120708748
342,вут,1,0.0011074197120708748
343,а н,2,0.0022148394241417496
